company_name,high,low,last_price,prev_close,change,percent_gain
GMM Pfaudler,"2,110.00","1,866.50","2,068.20","1,899.55",168.65,8.88
Guj Alkali,964.00,891.15,957.70,887.90,69.80,7.86
Shree Renuka,52.75,48.15,51.65,47.95,3.70,7.72
Vijaya Diagnost,426.50,388.80,421.25,392.75,28.50,7.26
Apollo Tyres,274.25,258.00,272.45,254.60,17.85,7.01
Central Bank,20.90,19.40,20.60,19.30,1.30,6.74
Easy Trip,408.90,375.50,402.80,378.30,24.50,6.48
Tata Inv Corp,"1,848.40","1,675.00","1,797.65","1,689.10",108.55,6.43
Kalpataru Power,440.85,413.25,429.20,404.05,25.15,6.22
Brigade Ent,573.00,540.10,568.40,536.35,32.05,5.98
Varun Beverages,"1,102.80","1,034.20","1,093.75","1,033.40",60.35,5.84
Wockhardt,259.70,245.15,255.50,242.70,12.80,5.27
NLC India,82.45,77.70,81.95,77.90,4.05,5.2
Shriram Trans,"1,391.55","1,317.45","1,384.75","1,320.80",63.95,4.84
CG Consumer,413.00,390.60,411.00,392.70,18.30,4.66
Tata Power,248.00,237.20,247.35,236.45,10.90,4.61
Ambuja Cements,441.00,417.50,436.50,417.95,18.55,4.44
Adani Total Gas,"3,710.00","3,535.95","3,682.85","3,530.60",152.25,4.31
PNB,37.50,35.65,37.20,35.70,1.50,4.2
Triveni Engg,254.80,242.00,250.40,240.55,9.85,4.09
Shriram City,"1,968.30","1,876.55","1,949.65","1,874.70",74.95,4
EID Parry,557.85,530.00,555.75,534.65,21.10,3.95
Aster DM Health,261.00,241.10,250.10,240.95,9.15,3.8
Rattanindia Ent,54.70,50.45,53.25,51.35,1.90,3.7
IOB,18.80,17.90,18.45,17.80,0.65,3.65
Angel One,"1,433.80","1,347.65","1,387.05","1,340.15",46.90,3.5
CreditAccess Gr,"1,094.95","1,009.70","1,052.75","1,017.15",35.60,3.5
Balrampur Chini,376.35,363.50,373.95,362.10,11.85,3.27
Apollo Hospital,"4,422.00","4,291.75","4,415.50","4,282.55",132.95,3.1
Ceat,"1,459.00","1,392.05","1,431.35","1,388.90",42.45,3.06
V-Guard Ind,244.95,235.30,244.15,236.90,7.25,3.06
Thyrocare Techn,656.00,630.00,650.10,631.05,19.05,3.02
Bharti Airtel,765.00,740.40,761.25,740.40,20.85,2.82
BSE Limited,683.80,658.05,676.25,657.95,18.30,2.78
Indiabulls Real,94.50,88.30,92.85,90.35,2.50,2.77
Shilpa,403.80,378.65,392.25,381.95,10.30,2.7
Adani Enterpris,"3,447.60","3,355.00","3,435.80","3,346.55",89.25,2.67
Fert and Chem,129.75,122.00,125.80,122.55,3.25,2.65
Jindal Steel,438.80,423.00,436.70,425.65,11.05,2.6
Bajaj Holdings,"5,840.00","5,672.75","5,819.95","5,672.75",147.20,2.59
Redington,156.35,150.50,153.85,150.00,3.85,2.57
NTPC,168.85,164.80,168.45,164.50,3.95,2.4
Elgi Equipments,565.00,539.15,551.10,538.45,12.65,2.35
Hatsun Agro,"1,023.90",996.05,"1,011.00",987.80,23.20,2.35
Fine Organics,"6,363.55","6,122.00","6,265.20","6,122.05",143.15,2.34
M&M Financial,221.30,215.15,219.80,214.90,4.90,2.28
Praj Industries,426.95,410.60,423.85,414.40,9.45,2.28
CDSL,"1,341.90","1,297.00","1,324.50","1,295.10",29.40,2.27
Westlife Dev,669.25,650.00,664.50,650.05,14.45,2.22
ABB India,"3,376.00","3,306.55","3,362.05","3,289.20",72.85,2.21
Garware Technic,"3,500.00","3,414.60","3,497.30","3,422.60",74.70,2.18
Adani Trans,"3,979.90","3,890.00","3,964.05","3,881.25",82.80,2.13
HLE Glascoat,"4,039.40","3,870.00","3,972.05","3,889.55",82.50,2.12
Jubilant Food,618.80,602.40,611.35,598.90,12.45,2.08
GAIL,93.35,91.20,93.05,91.17,1.88,2.06
SUMITOMO,489.00,475.10,487.65,478.00,9.65,2.02
Sterling Wilson,312.30,302.50,306.70,300.65,6.05,2.01
Tanla Platforms,763.40,740.10,759.10,744.15,14.95,2.01
SAIL,82.45,80.00,82.05,80.50,1.55,1.93
IWML,"1,750.00","1,661.10","1,701.70","1,669.80",31.90,1.91
AstraZeneca,"3,143.95","3,050.10","3,108.20","3,051.20",57.00,1.87
ACC,"2,354.90","2,280.40","2,329.95","2,288.15",41.80,1.83
Godrej Consumer,917.00,902.45,909.75,893.50,16.25,1.82
Sapphire Foods,"1,400.00","1,370.65","1,386.75","1,362.15",24.60,1.81
Power Finance,116.95,113.60,116.50,114.45,2.05,1.79
Shyam Metalics,308.00,297.10,304.10,298.85,5.25,1.76
Grindwell Norto,"2,281.00","2,175.00","2,204.90","2,168.00",36.90,1.7
Borosil Renew,573.70,560.65,568.45,559.00,9.45,1.69
Shree Cements,"21,700.00","21,172.90","21,654.35","21,293.65",360.70,1.69
Bank of Mah,18.75,18.00,18.30,18.00,0.30,1.67
Balkrishna Ind,"2,015.00","1,946.30","2,006.40","1,974.50",31.90,1.62
REC,109.25,105.60,107.95,106.25,1.70,1.6
Tata Steel,108.80,106.05,108.60,106.90,1.70,1.59
Tata Steel,108.80,106.05,108.60,106.90,1.70,1.59
TVS Motor,"1,058.90","1,041.75","1,054.55","1,038.05",16.50,1.59
Indoco Remedies,380.00,368.15,373.80,368.15,5.65,1.53
Astral Ltd,"2,344.80","2,301.65","2,339.50","2,305.10",34.40,1.49
Cipla,"1,042.00","1,024.90","1,040.85","1,025.65",15.20,1.48
SBI Card,953.85,927.25,950.25,936.35,13.90,1.48
Suzlon Energy,11.70,9.75,10.70,10.55,0.15,1.42
SBI Life Insura,"1,317.00","1,285.05","1,311.35","1,293.40",17.95,1.39
UNO Minda,578.75,559.65,575.20,567.40,7.80,1.37
IRFC,22.50,22.10,22.40,22.10,0.30,1.36
KEI Industries,"1,508.80","1,475.10","1,494.25","1,474.30",19.95,1.35
General Insuran,133.10,129.55,130.25,128.55,1.70,1.32
Jyothy Labs,192.50,189.00,191.80,189.30,2.50,1.32
Vedanta,264.75,258.30,263.85,260.40,3.45,1.32
Torrent Power,591.90,572.75,580.10,572.60,7.50,1.31
Birla Corp,"1,049.00","1,009.95","1,018.15","1,005.05",13.10,1.3
Cyient,848.50,829.00,845.90,835.20,10.70,1.28
Rashtriya Chem,103.70,99.60,101.45,100.20,1.25,1.25
Coromandel Int,"1,049.40","1,025.80","1,044.65","1,032.05",12.60,1.22
Glenmark,377.00,370.00,375.95,371.45,4.50,1.21
"NALCO",80.50,78.90,80.35,79.40,0.95,1.2
Rossari,997.90,970.95,983.20,971.55,11.65,1.2
MRF,"85,889.95","84,412.05","85,257.70","84,254.05","1,003.65",1.19
Bharat Forge,779.90,768.10,776.75,767.70,9.05,1.18
Uflex,782.00,763.70,772.30,763.50,8.80,1.15
Narayana Hruda,744.00,701.55,714.90,706.75,8.15,1.15
Phoenix Mills,"1,415.00","1,371.05","1,404.90","1,389.05",15.85,1.14
Tube Investment,"2,570.00","2,480.00","2,515.10","2,487.85",27.25,1.1
Dr Lal PathLab,"2,419.90","2,361.10","2,395.05","2,369.20",25.85,1.09
Jindal Stainles,132.50,127.30,130.40,129.00,1.40,1.09
Equitas Bank,47.95,46.70,47.30,46.80,0.50,1.07
ICICI Prudentia,592.65,582.00,591.20,585.05,6.15,1.05
Reliance,"2,606.00","2,572.00","2,596.85","2,569.80",27.05,1.05
Kansai Nerolac,511.00,497.10,502.10,497.10,5.00,1.01
Devyani Int,189.75,186.65,187.35,185.50,1.85,1
Hind Copper,119.90,116.20,117.95,116.80,1.15,0.98
Nippon,300.00,293.25,297.80,294.90,2.90,0.98
Lakshmi Machine,"12,699.00","12,465.85","12,624.60","12,503.10",121.50,0.97
TTK Prestige,"1,000.00",974.00,992.85,983.30,9.55,0.97
Can Fin Homes,654.00,634.10,644.75,638.60,6.15,0.96
Supreme Ind,"2,101.00","2,061.00","2,079.85","2,060.70",19.15,0.93
JSW Energy,364.80,351.10,359.15,355.90,3.25,0.91
Manappuram Fin,108.40,104.60,105.40,104.45,0.95,0.91
Max Healthcare,389.40,379.00,382.35,378.90,3.45,0.91
Adani Green Ene,"2,411.35","2,362.10","2,374.90","2,353.80",21.10,0.9
Exide Ind,175.80,171.70,173.95,172.40,1.55,0.9
Cera Sanitary,"5,399.00","5,220.00","5,336.25","5,288.65",47.60,0.9
Finolex Ind,154.55,150.25,153.30,151.95,1.35,0.89
Jamna Auto,126.75,123.20,125.20,124.10,1.10,0.89
Cummins,"1,226.00","1,212.05","1,222.15","1,211.45",10.70,0.88
Advanced Enzyme,277.10,268.75,271.25,268.90,2.35,0.87
Hero Motocorp,"2,869.75","2,827.80","2,866.55","2,842.05",24.50,0.86
P and G,"14,279.00","13,981.30","14,243.55","14,125.65",117.90,0.83
Indiabulls Hsg,136.70,132.50,136.00,134.90,1.10,0.82
Hathway Cable,19.15,18.50,18.85,18.70,0.15,0.8
KPIT Tech,566.00,555.10,561.25,556.80,4.45,0.8
Pfizer,"4,333.30","4,250.20","4,311.65","4,277.45",34.20,0.8
Chola Fin Hold,659.45,649.25,653.80,648.75,5.05,0.78
Procter&Gamble,"4,350.00","4,265.65","4,306.65","4,274.15",32.50,0.76
NESCO,575.05,565.45,571.90,567.60,4.30,0.76
SRF,"2,657.90","2,606.80","2,621.00","2,601.20",19.80,0.76
Firstsource Sol,109.35,106.20,107.05,106.25,0.80,0.75
Prism Johnson,128.30,125.05,127.20,126.25,0.95,0.75
Power Grid Corp,228.00,224.00,225.05,223.40,1.65,0.74
Galaxy Surfacta,"3,300.00","3,245.05","3,267.45","3,243.75",23.70,0.73
Grasim,"1,730.75","1,704.00","1,723.05","1,710.75",12.30,0.72
Hindustan Aeron,"2,429.50","2,385.00","2,394.40","2,377.50",16.90,0.71
Guj Amb Exports,272.40,266.40,271.15,269.30,1.85,0.69
SIS,471.00,451.50,457.60,454.45,3.15,0.69
Blue Dart,"8,946.50","8,788.00","8,881.20","8,822.75",58.45,0.66
Zydus Wellness,"1,651.00","1,620.00","1,644.75","1,634.00",10.75,0.66
Infibeam Avenue,15.85,15.60,15.70,15.60,0.10,0.64
INDUS TOWERS,201.35,199.15,200.85,199.60,1.25,0.63
